Fiscal Year,Function/Program,Department,Program/Metric,Program/Metric Label,Amount,Sub-Metric 1,Sub-Metric2
2006,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Water Reclaimed (MGD),25,Completion frequency-posted routes %,
2006,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Wastewater Treatment (MGD),49,Completion frequency-posted routes %,
2006,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Water Reclaimed (MGD),4,Completion frequency-posted routes %,
2006,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Wastewater Treatment (MGD),13,Completion frequency-posted routes %,
2006,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Reclaimed (MGD),1,Completion frequency-posted routes %,
2006,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Treatment (MGD),16,Completion frequency-posted routes %,
2006,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Reclaimed (MGD),23,Completion frequency-posted routes %,
2006,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Treatment (MGD),337,Completion frequency-posted routes %,
2006,Health and Sanitation,Sanitation,Watershed Protection,"Watershed Protection/Clean 90,000 catch basins annually (%)",0,Completion frequency-posted routes %,
2006,Health and Sanitation,Sanitation,Maintenance and Operation of Flood Control Facilities,Maintenance and Operation of Flood Control Facilities/Catch Basin Cleaning,123521,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals adopted,19592,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals impounded (7),55652,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals which die while in City's care (%),0,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals euthanized,22333,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Animal Services,Animal Licensing and Permitting Operations,Animal Licensing and Permitting Operations/Dog licenses issued,126337,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Building and Safety,Building Permits Issued,Building Permits Issued,141403,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Building and Safety,Response to inspection requests within 24 hrs (%),Response to inspection requests within 24 hrs (%),0,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Fires (includes automatic alarms),137687,Completion frequency-posted routes %,Fires (includes automatic alarms)
2006,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Response within 5 mins of notification (%),86,Completion frequency-posted routes %,Response within 5 mins of notification (%)
2006,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Non structure fires,9358,Completion frequency-posted routes %,Non structure fires
2006,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Structure fires,3406,Completion frequency-posted routes %,Structure fires
2006,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Response to emergencies within 5 mins (%),66,Completion frequency-posted routes %,Response to emergencies within 5 mins (%)
2006,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT fire resources,259582,Completion frequency-posted routes %,EMT fire resources
2006,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic fire resources,77088,Completion frequency-posted routes %,Paramedic fire resources
2006,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT ambulances,100995,Completion frequency-posted routes %,EMT ambulances
2006,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic ambulances,249666,Completion frequency-posted routes %,Paramedic ambulances
2006,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Arson Investigation and Counter-Terrorism/Closure rate in criminal fires investigation (%),0,Completion frequency-posted routes %,Closure rate in criminal fires investigation (%)
2006,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Helicopter flight hours for brush and structure fires,652,Completion frequency-posted routes %,Helicopter flight hours for brush and structure fires
2006,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Rescues and others,30211,Completion frequency-posted routes %,Rescues and others
2006,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Hazardous conditions,5730,Completion frequency-posted routes %,Hazardous conditions
2006,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Selected Part II crimes reported,67400,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged rape kits reduced,0,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic collisions investigated,54225,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Fatal and injury traffic accidents,26014,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic citations issued,466190,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Police,Technical Support Program,Technical Support Program/Complaint board calls received (911),1726179,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged fingerprint cases reduced,0,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Part I crimes reported,144100,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Response to emergency calls (in minutes),0,Completion frequency-posted routes %,
2006,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Total arrests,185000,Completion frequency-posted routes %,
2006,Public Works,Board of Commissioners,"Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)","Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)",22000,Completion frequency-posted routes %,
2006,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed - City forces (broadhead),44514,Completion frequency-posted routes %,
2006,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-private (million sq ft)",7,Completion frequency-posted routes %,
2006,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-public (million sq ft)",12,Completion frequency-posted routes %,
2006,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Debris removed (cubic yards)",237474,Completion frequency-posted routes %,
2006,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Response time to clear illegal dumping (days)",0,Completion frequency-posted routes %,
2006,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-posted routes %,98,Completion frequency-posted routes %,
2006,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-posted routes/Goal-posted routes %,98,Completion frequency-posted routes %,Goal-posted routes %
2006,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-nonposted routes (weeks),4,Completion frequency-posted routes %,
2006,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-nonposted routes (weeks)/Goal-nonposted routes (weeks),4,Completion frequency-posted routes %,Goal-nonposted routes (weeks)
2006,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees planted - City forces & Non-profits (MTLA),3889,Completion frequency-posted routes %,
2006,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed in City's urban forest,0,Completion frequency-posted routes %,
2006,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Streets resurfaced (miles),234,Completion frequency-posted routes %,
2006,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Bus pads constructed,46,Completion frequency-posted routes %,
2006,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Access ramps constructed,893,Completion frequency-posted routes %,
2006,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Sidewalks repaired (miles),59,Completion frequency-posted routes %,
2006,Transportation,Transportation,Franchise and Taxicab Regulation,Franchise and Taxicab Regulation/Bandit vehicles impounded,193,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Increase in bicycle lane miles,0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Increase in bicycle sharrow miles,0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Active traffic congestion relief projects,0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Franchise and Taxicab Regulation,Franchise and Taxicab Regulation/Bandit drivers arrested,211,Completion frequency-posted routes %,
2006,Transportation,Transportation,Mass Transit Information Services,Mass Transit Information Services/Shuttle bus transit ridership per hour,48,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transportation System Engineering Program,Transportation System Engineering Program/Speed humps/tables constructed,356,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Red curb miles reinstalled/installed,526,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Thermoplastic longline striping installed/reinstalled (previously lane miles),883,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Signs Replaced (9),30000,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Signs Maintained/Replaced,0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Temporary Signs installed/removed,0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Number miles of lane markings installed,0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Citations written,3205565,Completion frequency-posted routes %,
2006,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Citations written per officer per eight-hour shift,37,Completion frequency-posted routes %,
2006,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Peak hour tows and other tows,18359,Completion frequency-posted routes %,
2006,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Crossing guard assignments,501,Completion frequency-posted routes %,
2006,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Number of hours of intersection control,56837,Completion frequency-posted routes %,
2006,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Abandoned vehicles abated,122731,Completion frequency-posted routes %,
2006,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Abandoned vehicles impounded,5577,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transit Operations,Transit Operations/Fixed transit routes in service,55,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transit Operations,Transit Operations/Fixed transit route passenger trips,30630303,Completion frequency-posted routes %,
2006,Transportation,Transportation,Transit Operations,Transit Operations/Total transit vehicle passenger trips,30765034,Completion frequency-posted routes %,
2006,Transportation,Transportation,Parking Operations Support and Adjudication,Parking Operations Support and Adjudication/Citation reviews completed within 21 days (%),0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Parking Operations Support and Adjudication,Parking Operations Support and Adjudication/Collection rate of citations issued in the year (%),0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Traffic control signals maintained (%),0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Number Traffic Signals Repaired,0,Completion frequency-posted routes %,
2006,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Number New Signals (Traffic and Pedestrian) Installed,0,Completion frequency-posted routes %,
2005,Business-Type Activities ,Airports,Passengers (millions),Passengers (millions),68,Completion frequency-posted routes %,
2005,Business-Type Activities ,Airports,Air cargo (thousand tons),Air cargo (thousand tons),2718,Completion frequency-posted routes %,
2005,Business-Type Activities ,Airports,Aircraft movements (thousands),Aircraft movements (thousands),1270,Completion frequency-posted routes %,
2005,Business-Type Activities ,Harbor,Vessel arrivals,Vessel arrivals,2646,Completion frequency-posted routes %,
2005,Business-Type Activities ,Harbor,Containerized cargo volume (in million of TEUs),Containerized cargo volume (in million of TEUs),7,Completion frequency-posted routes %,
2005,Business-Type Activities ,Harbor,Outbound tonnage (million tons),Outbound tonnage (million tons),60,Completion frequency-posted routes %,
2005,Business-Type Activities ,Harbor,Inbound tonnage (million tons),Inbound tonnage (million tons),102,Completion frequency-posted routes %,
2005,Business-Type Activities ,Harbor,Miles of waterfront,Miles of waterfront,43,Completion frequency-posted routes %,
2005,Business-Type Activities ,Harbor,Cruise passengers,Cruise passengers,1097204,Completion frequency-posted routes %,
2005,Business-Type Activities ,Power,Energy production (billion kwh),Energy production (billion kwh),29,Completion frequency-posted routes %,
2005,Business-Type Activities ,Power,Net system capability (megawatts),Net system capability (megawatts),7,Completion frequency-posted routes %,
2005,Business-Type Activities ,Power,Kilowatt hours sold (billions),Kilowatt hours sold (billions),25,Completion frequency-posted routes %,
2005,Business-Type Activities ,Power,Customers-average number (thousands),Customers-average number (thousands),1437,Completion frequency-posted routes %,
2005,Business-Type Activities ,Water ,Gallons sold (billions),Gallons sold (billions),191,Completion frequency-posted routes %,
2005,Business-Type Activities ,Water ,Customers-average number (thousands),Customers-average number (thousands),664,Completion frequency-posted routes %,
2005,Business-Type Activities ,Water ,Net water supply (billions of gallons),Net water supply (billions of gallons),266,Completion frequency-posted routes %,
2005,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Congregate meals served,964196,Completion frequency-posted routes %,
2005,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Homebound meals served,839460,Completion frequency-posted routes %,
2005,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Meals served vs. Meals contracted (%),0,Completion frequency-posted routes %,
2005,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Prop A - One-way transportation trips,145000,Completion frequency-posted routes %,
2005,Community Development,Disability,AIDS Coordination,AIDS Coordination/HIV Testing and counseling,0,Completion frequency-posted routes %,
2005,Community Development,Disability,Constituents served,Constituents served,659,Completion frequency-posted routes %,
2005,Community Development,Disability,ADA Compliance,ADA Compliance/Days to respond for interpreter services,0,Completion frequency-posted routes %,
2005,Community Development,Disability,Crisis intervention,Crisis intervention,55,Completion frequency-posted routes %,
2005,Community Development,Disability,Counseling sessions,Counseling sessions,107,Completion frequency-posted routes %,
2005,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Residential units preserved under the Housing/Rehabilitation Program,356,Completion frequency-posted routes %,Rehabilitation Program
2005,Community Development,Housing,Rent Program,Rent Program/Tenant complaints processed,8000,Completion frequency-posted routes %,
2005,Community Development,Housing,Rent Program,Rent Program/Rental units registered,600000,Completion frequency-posted routes %,
2005,Community Development,Housing,Rent Program,Rent Program/Rent adjustments processed,510,Completion frequency-posted routes %,
2005,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Urgent repair referrals,600,Completion frequency-posted routes %,
2005,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Multi-family unit inspected every 4 years,0,Completion frequency-posted routes %,
2005,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Periodic inspections (units),153000,Completion frequency-posted routes %,
2005,Community Development,Housing,Compliance Monitoring,Compliance Monitoring/Affordable units monitored,15000,Completion frequency-posted routes %,
2005,Community Development,Housing,Homeownership and Preservation,Homeownership and Preservation/Number of housing units made lead safe,0,Completion frequency-posted routes %,
2005,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by MRB under the Homeownership/Program,90,Completion frequency-posted routes %,Program
2005,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by GAP under the Homeownership/Program - Low Income,90,Completion frequency-posted routes %,Program - Low Income
2005,Cultural and Recreational Services,Convention Center,Client Revenue Services,Client Revenue Services/Repeat events hosted (#),0,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Convention Center,Scheduled exhibit hall events,Scheduled exhibit hall events,126,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Art class enrollment,0,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Special events/festivals,104,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Art exhibitions presented,70,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Theater attendance,0,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Cultural Affairs,Performing Arts,Performing Arts/Music/theatre programs presented,292,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,El Pueblo,Special events/festivals held,Special events/festivals held,40,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,El Pueblo,Art exhibitions presented,Art exhibitions presented,10,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Visitors to educational and cultural programs,0,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,El Pueblo,Children's art workshops held,Children's art workshops held,110,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,El Pueblo,Cultural and historical tours given,Cultural and historical tours given,1400,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,El Pueblo,Historic sites maintained,Historic sites maintained,7,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Tours provided to the public,0,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library cardholders,0,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library materials checked out,0,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Attendance level for cultural programming,0,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of volunteers for special programs,0,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of people visiting library facilities,14011932,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Registered Borrowers,1424922,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books cataloged,50915,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books received:/Volumes,200000,Completion frequency-posted routes %,Volumes
2005,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Items circulated,15744303,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Youth Services and Intervention Programming/Youth (ages 5-15) in organized sports programs,0,Completion frequency-posted routes %,Youth (ages 5-15) in organized sports programs
2005,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Number of senior club members,0,Completion frequency-posted routes %,Number of senior club members
2005,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Other Recreation/Occupancy at child care facilities (%),0,Completion frequency-posted routes %,Occupancy at child care facilities (%)
2005,Cultural and Recreational Services,Recreation and Parks,Educational Exhibits,Educational Exhibits/Observatory/Attendance,0,Completion frequency-posted routes %,Attendance
2005,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Pool Attendance,1389678,Completion frequency-posted routes %,Pool Attendance
2005,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Attendance for recreational swim,0,Completion frequency-posted routes %,Attendance for recreational swim
2005,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Camps/Camper days,52652,Completion frequency-posted routes %,Camper days
2005,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Team sports participants,73307,Completion frequency-posted routes %,Team sports participants
2005,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Number of teams,4864,Completion frequency-posted routes %,Number of teams
2005,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Sr. Citizens Clubs,155,Completion frequency-posted routes %,Sr. Citizens Clubs
2005,Cultural and Recreational Services,Zoo,Educational Exhibits,Educational Exhibits/Attendance,1396538,Completion frequency-posted routes %,
2005,Cultural and Recreational Services,Zoo,Admissions,Admissions/Number of group reservations processed,0,Completion frequency-posted routes %,
2005,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Environmental cases concluded,250,Completion frequency-posted routes %,
2005,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Combined criminal jury and court trials,549,Completion frequency-posted routes %,
2005,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer cases concluded (3),,Completion frequency-posted routes %,
2005,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer protection-cases reviewed (3),194,Completion frequency-posted routes %,
2005,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer protection-consumer complaints (3),302,Completion frequency-posted routes %,
2005,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Housing/rent control cases concluded,320,Completion frequency-posted routes %,
2005,General Government,City Ethics Commission,Whistle-blower complaints and investigations processed,Whistle-blower complaints and investigations processed,490,Completion frequency-posted routes %,
2005,General Government,City Ethics Commission,Investigations resolved within 2 years (%),Investigations resolved within 2 years (%),0,Completion frequency-posted routes %,
2005,General Government,General Services,Building Services Program,Building Services Program/Building Maintenance and Repair/Square feet of buildings,16228700,Completion frequency-posted routes %,Square feet of buildings
2005,General Government,General Services,Building Services Program,Building Services Program/Building Maintenance and Repair/Preventative maintenance orders completed (%),0,Completion frequency-posted routes %,Preventative maintenance orders completed (%)
2005,General Government,General Services,Building Services Program,Building Services Program/Recycling Operations/Tonnage Collected,1637,Completion frequency-posted routes %,Tonnage Collected
2005,General Government,General Services,Building Services Program,Building Services Program/Special Events/Filmings coordinated,75,Completion frequency-posted routes %,Filmings coordinated
2005,General Government,General Services,Building Services Program,Building Services Program/Special Events/Filmings and Special Events coordinated,0,Completion frequency-posted routes %,Filmings and Special Events coordinated
2005,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Average wait time per caller (in sec),0,Completion frequency-posted routes %,
2005,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of calls received,611982,Completion frequency-posted routes %,
2005,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of wireless calls,60191,Completion frequency-posted routes %,
2005,General Government,Neighborhood Empowerment,Neighborhood councils certified (6),Neighborhood councils certified (6),1,Completion frequency-posted routes %,
2005,General Government,Office of Finance,Collections from Citywide Collection Unit ($ in 000's),Collections from Citywide Collection Unit ($ in 000's),0,Completion frequency-posted routes %,
2005,General Government,Office of Finance,Refund claims processed,Refund claims processed,13555,Completion frequency-posted routes %,
2005,General Government,Office of Finance,Revenue enhancement unit investigations (5),Revenue enhancement unit investigations (5),24463,Completion frequency-posted routes %,
2005,General Government,Office of Finance,Total tax accounts audited,Total tax accounts audited,4187,Completion frequency-posted routes %,
2005,General Government,Office of Finance,Annual Business Tax renewal e-filings,Annual Business Tax renewal e-filings,0,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Maintain a baseline 99.5% of refuse collected on schedule (%),0,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Wastewater Treatment (MGD),16,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Reclaimed (MGD),1,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Treatment (MGD),16,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Reclaimed (MGD),24,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Treatment (MGD),358,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Watershed Protection,"Watershed Protection/Clean 90,000 catch basins annually (%)",0,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Flood Control Facilities,Maintenance and Operation of Flood Control Facilities/Catch Basin Cleaning,87239,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recycling Contamination,85044,Completion frequency-posted routes %,Recycling Contamination
2005,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Bulky Items,31150,Completion frequency-posted routes %,Bulky Items
2005,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recyclables,193941,Completion frequency-posted routes %,Recyclables
2005,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Yard Trimmings,495387,Completion frequency-posted routes %,Yard Trimmings
2005,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Refuse,1009618,Completion frequency-posted routes %,Refuse
2005,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Increase truck fleet conversion to clean fuel (no. of trucks),0,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Convert refuse collection fleet to clean fuels (%),0,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Implement LAUSD Blue Bin Recycling Program (%),0,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Clean Water,"Clean Water/Clean 60,000 pipe reaches as mandated (%)",0,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/Maintain 3-yr rolling avrg of 60 miles of sewers (%),0,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/WCSD Sewer Cleaning - miles of sewers cleaned (10),3627,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Water Reclaimed (MGD),26,Completion frequency-posted routes %,
